CustomerID,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore
17712,44,1,522.91,2,4,3,243
13508,243,1,110.97,4,4,4,444
14944,29,14,5842.95,2,1,1,211
14713,9,12,2664.26,1,1,1,111
15292,201,1,180.94,4,4,4,444
16094,11,6,1041.83,1,1,2,112
16232,32,5,983.23,2,2,2,222
13225,3,8,6083.04,1,1,1,111
17190,58,3,249.74,3,3,4,334
14779,280,3,386.15,4,3,3,433
16999,23,2,484.82,2,3,3,233
17950,72,4,472.12,3,2,3,323
15535,173,7,459.9,4,1,3,413
16117,189,1,232.21,4,4,4,444
16706,37,3,531.35,2,3,3,233
15740,49,1,154.88,2,4,4,244
12607,58,2,0.0,3,3,4,334
13329,31,4,740.4,2,2,2,222
15429,26,3,364.9,2,3,3,233
16565,364,1,173.7,4,4,4,444
13923,53,1,351.13,3,4,3,343
14770,232,2,876.42,4,3,2,432
13504,64,1,295.93,3,4,3,343
14660,86,2,285.74,3,3,4,334
17836,47,1,110.21,2,4,4,244
17154,75,1,329.34,3,4,3,343
13398,192,1,457.34,4,4,3,443
14752,43,1,389.64,2,4,3,243
15462,94,3,234.6,3,3,4,334
13468,1,41,5656.75,1,1,1,111
16027,91,7,852.12,3,1,2,312
17346,3,16,2611.58,1,1,1,111
16549,10,10,4154.64,1,1,1,111
15221,366,2,114.1,4,3,4,434
12694,70,2,869.67,3,3,2,332
15070,372,1,106.2,4,4,4,444
15026,80,3,469.0,3,3,3,333
15146,164,3,1313.66,4,3,2,432
16295,9,4,1328.55,1,2,2,122
16985,17,11,5461.62,2,1,1,211
17438,247,2,378.3,4,3,3,433
16526,171,1,290.36,4,4,4,444
16506,19,2,90.3,2,3,4,234
13500,23,4,1136.77,2,2,2,222
15594,15,6,1767.53,1,1,1,111
14124,84,1,419.58,3,4,3,343
16119,8,2,423.36,1,3,3,133
16510,372,1,248.1,4,4,4,444
14054,65,1,92.46,3,4,4,344
14284,30,3,578.45,2,3,3,233
17677,1,43,16219.22,1,1,1,111
13313,22,5,1555.32,2,2,2,222
17213,40,11,2741.08,2,1,1,211
16255,16,10,2609.3,1,1,1,111
17904,21,2,178.92,2,3,4,234
14030,18,8,2360.09,2,1,1,211
15827,73,20,1641.48,3,1,1,311
17613,22,17,4509.37,2,1,1,211
15983,22,4,1475.02,2,2,2,222
12717,151,3,980.98,4,3,2,432
14477,19,5,1307.81,2,2,2,222
15584,23,5,722.61,2,2,2,222
12530,59,5,1623.63,3,2,1,321
15781,25,4,333.56,2,2,3,223
14245,176,5,1677.48,4,2,1,421
15216,87,1,96.6,3,4,4,344
16601,40,1,244.8,2,4,4,244
13544,39,2,291.41,2,3,4,234
16505,31,1,777.6,2,4,2,242
16257,176,1,46.95,4,4,4,444
12727,10,9,3947.7,1,1,1,111
14532,236,4,932.85,4,2,2,422
12723,3,5,725.07,1,2,2,122
15634,17,1,243.55,2,4,4,244
12757,15,19,4227.7,1,1,1,111
16766,273,2,1145.6,4,3,2,432
14760,294,2,53.8,4,3,4,434
16954,0,9,2085.08,1,1,1,111
17924,1,13,2894.33,1,1,1,111
17396,39,8,7330.8,2,1,1,211
16835,128,2,180.85,3,3,4,334
16800,11,1,1201.49,1,4,2,142
15157,3,5,1869.5,1,2,1,121
17502,9,4,689.1,1,2,2,122
12559,310,3,536.21,4,3,3,433
15348,72,1,158.04,3,4,4,344
17462,51,3,662.94,3,3,2,332
17392,306,2,457.91,4,3,3,433
18174,7,1,104.0,1,4,4,144
16947,235,1,406.48,4,4,3,443
12401,303,1,84.3,4,4,4,444
12436,99,1,509.01,3,4,3,343
17774,96,5,1215.46,3,2,2,322
12523,1,13,1745.57,1,1,1,111
15270,15,9,2298.2,1,1,1,111
17972,241,1,136.04,4,4,4,444
15973,235,3,99.77,4,3,4,434
16648,38,2,270.86,2,3,4,234
15904,8,1,164.68,1,4,4,144
17969,166,2,228.2,4,3,4,434
17926,133,2,397.29,3,3,3,333
15164,68,3,843.05,3,3,2,332
14437,143,2,-43.4,3,3,4,334
18014,28,1,166.42,2,4,4,244
16317,119,3,1341.65,3,3,2,332
15091,53,2,476.96,3,3,3,333
17265,138,2,562.9,3,3,3,333
17525,359,1,422.7,4,4,3,443
14085,2,19,4435.79,1,1,1,111
13494,311,1,316.26,4,4,3,443
13003,105,3,149.05,3,3,4,334
16813,8,10,1692.98,1,1,1,111
15658,190,8,958.9,4,1,2,412
13516,21,3,1389.41,2,3,2,232
17554,1,5,1952.45,1,2,1,121
15491,95,7,3090.85,3,1,1,311
13046,30,2,629.31,2,3,3,233
17430,32,2,265.76,2,3,4,234
17639,276,1,108.5,4,4,4,444
17253,18,1,178.26,2,4,4,244
14658,5,2,247.15,1,3,4,134
13967,145,1,80.7,4,4,4,444
15093,18,9,4410.14,2,1,1,211
13720,116,4,799.9,3,2,2,322
17588,100,3,1240.2,3,3,2,332
15557,28,1,473.65,2,4,3,243
15497,17,3,1259.7,2,3,2,232
13994,3,6,2313.14,1,1,1,111
16801,163,5,867.83,4,2,2,422
14332,22,3,866.31,2,3,2,232
14064,29,7,1188.32,2,1,2,212
16968,4,2,439.43,1,3,3,133
13751,288,1,296.25,4,4,3,443
17388,77,4,1259.56,3,2,2,322
12384,28,3,566.16,2,3,3,233
12943,301,1,-3.75,4,4,4,444
14801,61,1,193.14,3,4,4,344
16738,297,1,3.75,4,4,4,444
14589,371,1,39.75,4,4,4,444
16913,290,1,113.44,4,4,4,444
12494,9,13,1139.35,1,1,2,112
15850,19,2,238.85,2,3,4,234
13368,256,2,623.4,4,3,3,433
18030,4,3,220.7,1,3,4,134
12782,4,6,2273.32,1,1,1,111
14336,16,4,1614.91,1,2,1,121
12854,78,5,1289.15,3,2,2,322
12755,249,4,2203.2,4,2,1,421
18193,150,3,212.96,4,3,4,434
17397,22,2,696.41,2,3,2,232
16274,373,1,357.95,4,4,3,443
16125,367,1,289.35,4,4,4,444
17508,280,1,387.31,4,4,3,443
12355,214,1,459.4,4,4,3,443
18105,37,1,113.48,2,4,4,244
18085,330,2,689.95,4,3,2,432
15716,145,4,1118.81,4,2,2,422
14715,24,4,867.38,2,2,2,222
13170,26,1,116.01,2,4,4,244
13066,24,3,430.9,2,3,3,233
15637,52,1,223.36,3,4,4,344
17347,86,1,228.96,3,4,4,344
12837,173,1,134.1,4,4,4,444
12566,72,2,346.7,3,3,3,333
14935,297,1,1784.71,4,4,1,441
13594,52,1,396.97,3,4,3,343
16721,262,1,292.47,4,4,4,444
14101,73,6,5976.79,3,1,1,311
12362,3,13,5154.58,1,1,1,111
14410,15,15,576.3,1,1,3,113
16930,26,3,380.55,2,3,3,233
17001,0,11,3989.57,1,1,1,111
14501,64,3,190.31,3,3,4,334
15844,46,1,130.74,2,4,4,244
15116,17,4,1352.75,2,2,2,222
16189,15,2,215.48,1,3,4,134
13220,78,4,819.29,3,2,2,322
16532,17,3,6748.8,2,3,1,231
14044,26,4,652.82,2,2,2,222
15130,169,1,330.11,4,4,3,443
17353,129,2,1740.0,3,3,1,331
13782,12,6,912.0,1,1,2,112
13960,21,2,230.22,2,3,4,234
16671,28,3,1692.27,2,3,1,231
13745,151,2,291.54,4,3,4,434
14703,14,1,318.17,1,4,3,143
15398,16,3,1339.63,1,3,2,132
14180,10,31,4640.77,1,1,1,111
14525,8,13,4221.37,1,1,1,111
13027,113,6,6912.0,3,1,1,311
17059,29,5,3095.04,2,2,1,221
14555,57,2,324.14,3,3,3,333
15253,16,6,915.3,1,1,2,112
17678,263,1,298.11,4,4,3,443
15795,149,1,610.01,4,4,3,443
14554,10,4,2381.04,1,2,1,121
13109,2,5,766.84,1,2,2,122
18240,46,1,422.58,2,4,3,243
16244,211,2,1522.75,4,3,2,432
15840,58,3,345.66,3,3,3,333
13904,37,2,332.64,2,3,3,233
15060,8,4,303.09,1,2,3,123
12447,243,1,476.49,4,4,3,443
17297,17,1,131.78,2,4,4,244
18071,257,2,453.0,4,3,3,433
17647,65,1,133.06,3,4,4,344
13726,38,2,1079.66,2,3,2,232
14733,9,15,9451.54,1,1,1,111
14367,8,19,9167.82,1,1,1,111
16839,8,39,15357.78,1,1,1,111
16455,63,7,1841.18,3,1,1,311
14056,1,29,8124.4,1,1,1,111
17147,22,6,1679.64,2,1,1,211
16265,9,11,5423.15,1,1,1,111
17955,198,4,557.3,4,2,3,423
17081,25,2,290.16,2,3,4,234
15234,276,1,197.0,4,4,4,444
14776,51,13,2195.58,3,1,1,311
17890,322,2,602.09,4,3,3,433
18278,73,1,173.9,3,4,4,344
14117,143,1,90.0,3,4,4,344
13045,99,1,305.28,3,4,3,343
16366,18,1,327.3,2,4,3,243
15096,42,1,219.39,2,4,4,244
14687,106,1,628.38,3,4,3,343
15503,362,1,147.09,4,4,4,444
14642,58,1,96.12,3,4,4,344
12948,16,8,2053.7,1,1,1,111
12453,134,1,707.09,3,4,2,342
13104,3,6,1098.48,1,1,2,112
15105,18,7,2298.93,2,1,1,211
13166,282,2,414.7,4,3,3,433
16053,32,2,1511.95,2,3,2,232
12373,311,1,364.6,4,4,3,443
14177,84,5,554.46,3,2,3,323
14141,2,6,879.03,1,1,2,112
12885,63,4,1158.27,3,2,2,322
16043,37,4,773.99,2,2,2,222
15923,372,1,127.08,4,4,4,444
12913,4,5,2483.63,1,2,1,121
15733,282,1,162.3,4,4,4,444
14647,201,1,243.22,4,4,4,444
17542,269,1,170.75,4,4,4,444
13873,119,4,381.7,3,2,3,323
12548,166,1,95.2,4,4,4,444
15531,8,2,2007.44,1,3,1,131
16684,4,31,65892.08,1,1,1,111
15062,71,4,987.86,3,2,2,322
16012,35,3,1415.29,2,3,2,232
15024,9,10,1661.33,1,1,1,111
15260,100,8,1780.77,3,1,1,311
13139,16,8,5055.79,1,1,1,111
14419,10,6,1058.06,1,1,2,112
15219,176,1,305.75,4,4,3,443
15855,136,5,712.24,3,2,2,322
16774,67,5,654.92,3,2,2,322
16175,94,4,1037.59,3,2,2,322
17148,51,1,124.88,3,4,4,344
15332,366,4,1661.06,4,2,1,421
17463,16,6,1881.36,1,1,1,111
14496,311,2,538.81,4,3,3,433
18248,113,4,783.02,3,2,2,322
18113,368,1,76.32,4,4,4,444
15262,323,1,178.95,4,4,4,444
13052,212,1,348.15,4,4,3,443
12725,371,1,427.8,4,4,3,443
17070,114,1,312.14,3,4,3,343
15426,19,7,1429.9,2,1,2,212
12582,238,2,511.36,4,3,3,433
16553,163,14,5664.57,4,1,1,411
14062,9,12,10464.85,1,1,1,111
17637,31,2,547.06,2,3,3,233
12705,15,14,6814.24,1,1,1,111
16834,227,1,413.46,4,4,3,443
16326,5,15,3085.96,1,1,1,111
12868,185,6,1607.06,4,1,2,412
12597,19,5,3683.13,2,2,1,221
16885,15,3,471.51,1,3,3,133
15132,18,5,977.93,2,2,2,222
15073,9,4,612.43,1,2,3,123
13946,79,3,561.57,3,3,3,333
18096,11,3,911.15,1,3,2,132
18147,45,2,179.34,2,3,4,234
13523,33,6,3755.38,2,1,1,211
15370,40,8,2360.55,2,1,1,211
17737,9,2,168.24,1,3,4,134
12865,26,3,1548.07,2,3,2,232
17244,53,1,954.9,3,4,2,342
13301,103,4,618.09,3,2,3,323
15071,93,2,982.07,3,3,2,332
17709,169,1,137.45,4,4,4,444
16178,138,1,197.9,3,4,4,344
15263,106,1,156.51,3,4,4,344
12601,189,6,569.56,4,1,3,413
16056,45,1,664.85,2,4,2,242
13081,1,21,27964.48,1,1,1,111
14644,9,4,780.46,1,2,2,122
13040,8,2,676.99,1,3,2,132
15906,19,8,1521.79,2,1,2,212
15841,64,6,1209.1,3,1,2,312
17014,8,4,565.58,1,2,3,123
14140,3,3,920.05,1,3,2,132
16015,3,4,690.54,1,2,2,122
17549,23,2,148.86,2,3,4,234
14720,5,3,663.81,1,3,2,132
17312,138,3,644.3,3,3,3,333
17584,7,3,1227.3,1,3,2,132
13416,43,2,712.5,2,3,2,232
16000,2,3,12393.7,1,3,1,131
16078,283,1,79.2,4,4,4,444
17053,128,2,496.38,3,3,3,333
16352,17,2,494.44,2,3,3,233
16338,157,1,214.8,4,4,4,444
13497,282,3,321.05,4,3,3,433
17813,14,7,1714.6,1,1,1,111
15203,25,6,1827.8,2,1,1,211
15918,190,2,334.23,4,3,3,433
15599,26,2,761.74,2,3,2,232
16150,38,10,1906.07,2,1,1,211
13524,40,5,680.18,2,2,2,222
16571,3,5,1285.22,1,2,2,122
13838,5,4,691.73,1,2,2,122
16266,73,7,861.89,3,1,2,312
15485,30,3,2575.0,2,3,1,231
14961,10,12,7006.58,1,1,1,111
17573,29,4,362.9,2,2,3,223
13038,80,3,908.46,3,3,2,332
15051,23,3,1391.61,2,3,2,232
16243,33,2,409.1,2,3,3,233
17985,22,1,634.95,2,4,3,243
16969,39,3,650.41,2,3,2,232
13992,30,1,76.8,2,4,4,244
13347,70,1,341.36,3,4,3,343
17496,358,1,271.05,4,4,4,444
17895,44,1,98.0,2,4,4,244
12893,30,1,188.14,2,4,4,244
14096,4,34,57120.91,1,1,1,111
12662,0,12,3817.08,1,1,1,111
15405,189,1,349.1,4,4,3,443
12951,8,8,1042.07,1,1,2,112
15920,154,4,167.5,4,2,4,424
17071,8,14,2385.48,1,1,1,111
15563,8,7,1319.69,1,1,2,112
14808,39,15,2175.37,2,1,1,211
14287,8,4,151.23,1,2,4,124
12731,23,14,18793.41,2,1,1,211
15345,35,2,367.69,2,3,3,233
17793,25,1,323.04,2,4,3,243
12504,18,4,114.0,2,2,4,224
13730,135,2,752.6,3,3,2,332
15440,54,3,383.68,3,3,3,333
14333,64,2,351.45,3,3,3,333
17928,45,2,212.54,2,3,4,234
16431,213,3,642.81,4,3,3,433
15363,241,2,318.05,4,3,3,433
12659,29,1,91.68,2,4,4,244
15083,256,1,88.2,4,4,4,444
14375,185,1,257.68,4,4,4,444
14888,207,1,369.2,4,4,3,443
16413,56,1,262.2,3,4,4,344
17811,4,51,7677.71,1,1,1,111
17097,2,9,937.92,1,1,2,112
15454,362,1,179.1,4,4,4,444
16303,25,4,5305.83,2,2,1,221
16240,8,5,3693.81,1,2,1,121
13477,37,8,1441.53,2,1,2,212
13811,183,4,591.75,4,2,3,423
15108,141,5,1291.75,3,2,2,322
18170,33,3,980.31,2,3,2,232
17345,15,4,537.74,1,2,3,123
15224,358,3,310.48,4,3,3,433
17545,43,3,645.96,2,3,3,233
17029,110,2,716.0,3,3,2,332
17448,144,1,-4287.63,4,4,4,444
14345,38,1,108.98,2,4,4,244
13685,2,7,3119.44,1,1,1,111
17423,45,4,663.63,2,2,2,222
14871,3,4,522.38,1,2,3,123
12347,2,7,4310.0,1,1,1,111
18209,28,1,139.1,2,4,4,244
12882,9,2,1463.04,1,3,2,132
15267,22,5,1717.36,2,2,1,221
18088,61,1,167.67,3,4,4,344
13372,89,1,378.64,3,4,3,343
14439,319,1,2661.24,4,4,1,441
17259,148,2,603.37,4,3,3,433
16134,21,3,603.69,2,3,3,233
12709,3,26,9294.1,1,1,1,111
16370,82,4,1320.56,3,2,2,322
17603,50,5,-1165.3,2,2,4,224
15636,89,2,724.76,3,3,2,332
16698,226,2,1998.0,4,3,1,431
13426,0,12,3550.7,1,1,1,111
14292,7,14,4819.33,1,1,1,111
17966,37,5,1098.43,2,2,2,222
15909,173,1,191.94,4,4,4,444
13644,8,5,2597.52,1,2,1,121
14128,60,2,637.5,3,3,3,333
17331,123,1,175.2,3,4,4,344
14565,95,6,3073.77,3,1,1,311
12895,42,3,347.3,2,3,3,233
15938,112,5,404.58,3,2,3,323
13422,51,2,2601.55,3,3,1,331
16383,74,2,668.36,3,3,2,332
14193,67,2,853.39,3,3,2,332
16921,61,1,169.79,3,4,4,344
15895,149,1,179.17,4,4,4,444
14813,369,2,155.43,4,3,4,434
16114,170,1,135.75,4,4,4,444
13584,306,1,142.4,4,4,4,444
16138,368,1,-7.95,4,4,4,444
12509,284,1,176.5,4,4,4,444
17504,206,10,2745.28,4,1,1,411
18075,23,14,2538.72,2,1,1,211
12841,4,26,3876.4,1,1,1,111
12429,9,4,3750.4,1,2,1,121
16131,51,6,3506.54,3,1,1,311
12873,282,1,374.0,4,4,3,443
14105,85,2,1260.33,3,3,2,332
16048,85,3,243.69,3,3,4,334
14462,63,15,1965.9,3,1,1,311
14102,5,8,1314.73,1,1,2,112
15111,29,3,1567.48,2,3,2,232
17883,3,4,671.77,1,2,2,122
14317,64,1,508.58,3,4,3,343
17984,145,1,152.68,4,4,4,444
18053,66,2,297.07,3,3,3,333
17536,177,1,76.5,4,4,4,444
18050,359,1,74.4,4,4,4,444
15696,33,12,2644.46,2,1,1,211
13694,3,60,62653.1,1,1,1,111
16076,3,11,2173.53,1,1,1,111
12935,2,8,2156.45,1,1,1,111
12652,322,2,914.53,4,3,2,432
14830,53,1,197.13,3,4,4,344
17685,16,7,3191.53,1,1,1,111
14587,18,10,1598.24,2,1,2,212
16253,31,3,3665.62,2,3,1,231
15516,44,3,62.43,2,3,4,234
14523,108,1,241.09,3,4,4,344
12881,275,1,298.0,4,4,3,443
17566,8,2,901.21,1,3,2,132
15974,39,8,3429.55,2,1,1,211
16242,8,8,3598.26,1,1,1,111
16515,52,5,1627.13,3,2,1,321
13101,234,1,101.19,4,4,4,444
16491,46,1,731.5,2,4,2,242
14036,284,1,626.65,4,4,3,443
15667,39,1,301.32,2,4,3,243
12722,85,6,904.33,3,1,2,312
16316,64,12,2755.56,3,1,1,311
13117,21,8,984.91,2,1,2,212
17400,126,5,2129.96,3,2,1,321
18036,32,3,405.62,2,3,3,233
15815,63,5,2100.6,3,2,1,321
17706,4,22,10097.37,1,1,1,111
12536,7,5,4106.82,1,2,1,121
16401,1,20,4061.24,1,1,1,111
15152,9,16,4684.24,1,1,1,111
16201,3,5,1821.52,1,2,1,121
17386,7,6,2686.42,1,1,1,111
16693,68,2,482.01,3,3,3,333
16230,189,2,542.03,4,3,3,433
16948,138,3,435.02,3,3,3,333
13958,372,1,-102.45,4,4,4,444
15228,66,5,3376.96,3,2,1,321
17503,2,2,558.96,1,3,3,133
17869,107,5,428.18,3,2,3,323
17486,261,1,396.87,4,4,3,443
12564,261,1,456.9,4,4,3,443
15386,186,1,394.14,4,4,3,443
14669,241,3,1269.99,4,3,2,432
16769,260,1,380.39,4,4,3,443
15593,70,1,199.8,3,4,4,344
13431,67,2,1269.1,3,3,2,332
15856,4,31,16173.67,1,1,1,111
13248,124,2,465.68,3,3,3,333
14041,266,1,141.41,4,4,4,444
14598,44,1,221.97,2,4,4,244
16984,78,5,4392.42,3,2,1,321
15940,311,2,31.8,4,3,4,434
18062,173,3,720.52,4,3,2,432
16057,4,10,2140.22,1,1,1,111
17974,24,3,740.79,2,3,2,232
16469,23,4,650.43,2,2,2,222
16483,192,1,139.35,4,4,4,444
16682,4,5,1028.0,1,2,2,122
12489,336,1,334.93,4,4,3,443
16159,281,1,348.2,4,4,3,443
14860,8,2,168.62,1,3,4,134
16475,88,4,544.3,3,2,3,323
15540,11,1,213.3,1,4,4,144
13781,250,1,127.84,4,4,4,444
16394,50,9,1412.06,2,1,2,212
15053,4,3,697.79,1,3,2,132
13488,17,17,8910.61,2,1,1,211
15922,372,2,363.6,4,3,3,433
13297,7,4,2089.85,1,2,1,121
14351,164,1,51.0,4,4,4,444
15950,1,5,1705.26,1,2,1,121
14513,100,4,438.49,3,2,3,323
14824,10,4,1127.71,1,2,2,122
12708,29,16,2616.32,2,1,1,211
15570,7,13,4109.97,1,1,1,111
16148,296,1,76.32,4,4,4,444
17547,372,1,-11.8,4,4,4,444
17204,169,9,1352.91,4,1,2,412
18129,243,1,112.55,4,4,4,444
13122,94,2,922.39,3,3,2,332
15438,131,1,156.58,3,4,4,344
14904,2,2,1025.44,1,3,2,132
15543,288,1,127.86,4,4,4,444
14364,108,8,3717.35,3,1,1,311
14606,1,128,11713.85,1,1,1,111
16073,291,2,94.35,4,3,4,434
12744,51,10,9120.39,3,1,1,311
14032,2,18,2929.84,1,1,1,111
13344,67,3,2543.72,3,3,1,331
17720,26,4,1195.94,2,2,2,222
16609,15,9,5450.96,1,1,1,111
17692,127,5,733.44,3,2,2,322
13589,14,2,379.65,1,3,3,133
12639,238,1,486.1,4,4,3,443
14608,4,4,1785.15,1,2,1,121
16470,51,5,757.44,3,2,2,322
16348,32,7,1469.45,2,1,2,212
17852,11,2,114.34,1,3,4,134
17715,200,1,326.4,4,4,3,443
14327,163,1,311.65,4,4,3,443
12713,0,1,848.55,1,4,2,142
18169,60,1,202.65,3,4,4,344
13098,1,41,28658.88,1,1,1,111
17019,11,4,1272.61,1,2,2,122
14422,0,6,4263.64,1,1,1,111
16145,8,18,3741.98,1,1,1,111
17466,10,2,763.28,1,3,2,132
15835,44,4,954.09,2,2,2,222
17730,3,15,5288.83,1,1,1,111
13988,19,9,4098.8,2,1,1,211
16323,196,1,207.5,4,4,4,444
13975,31,7,2503.23,2,1,1,211
16473,164,4,314.86,4,2,3,423
12535,91,2,716.35,3,3,2,332
14507,23,7,1368.18,2,1,2,212
12965,89,1,771.91,3,4,2,342
17585,109,4,1133.07,3,2,2,322
18191,261,1,207.8,4,4,4,444
15452,29,3,538.73,2,3,3,233
14870,261,1,327.25,4,4,3,443
15364,95,2,913.19,3,3,2,332
16561,5,2,511.12,1,3,3,133
17094,318,2,270.2,4,3,4,434
15925,194,1,207.15,4,4,4,444
16928,80,19,2781.5,3,1,1,311
16775,10,11,1695.66,1,1,1,111
14051,0,26,15477.34,1,1,1,111
18102,0,62,256438.49,1,1,1,111
17444,147,3,2940.04,4,3,1,431
17819,71,8,3661.07,3,1,1,311
14415,1,18,5811.56,1,1,1,111
14112,22,12,2774.17,2,1,1,211
17785,53,1,131.94,3,4,4,344
12980,155,12,7092.06,4,1,1,411
15882,198,5,495.36,4,2,3,423
17242,108,2,1135.04,3,3,2,332
18252,50,2,526.67,2,3,3,233
15532,25,6,1517.08,2,1,2,212
12712,22,17,4241.63,2,1,1,211
17176,201,1,306.13,4,4,3,443
12962,7,2,266.39,1,3,4,134
14775,58,3,1011.9,3,3,2,332
14035,28,5,1428.02,2,2,2,222
12797,360,3,194.18,4,3,4,434
17871,204,1,155.9,4,4,4,444
13228,81,1,358.0,3,4,3,343
17805,73,1,512.31,3,4,3,343
13295,359,2,197.95,4,3,4,434
13132,261,1,77.3,4,4,4,444
15206,10,4,420.3,1,2,3,123
14013,110,3,473.02,3,3,3,333
12910,23,8,3075.04,2,1,1,211
16934,54,2,950.93,3,3,2,332
15829,99,2,636.14,3,3,3,333
15163,18,2,304.47,2,3,3,233
16637,32,5,1124.59,2,2,2,222
16191,2,25,4913.32,1,1,1,111
17447,40,2,541.53,2,3,3,233
13439,255,1,283.71,4,4,4,444
12888,214,4,313.77,4,2,3,423
16292,117,2,280.9,3,3,4,334
16657,9,4,933.62,1,2,2,122
15700,172,3,664.03,4,3,2,432
12937,15,4,1504.27,1,2,2,122
15638,301,1,-94.0,4,4,4,444
13517,59,5,2109.07,3,2,1,321
17946,233,2,149.58,4,3,4,434
16917,276,1,391.52,4,4,3,443
16952,109,2,167.61,3,3,4,334
14474,43,2,537.71,2,3,3,233
14453,190,1,119.93,4,4,4,444
16688,1,4,1260.86,1,2,2,122
17817,4,3,387.68,1,3,3,133
15689,119,2,254.1,3,3,4,334
15330,32,2,714.96,2,3,2,232
14436,98,1,89.06,3,4,4,344
14139,46,1,415.82,2,4,3,243
17018,40,2,920.1,2,3,2,232
16732,31,1,603.75,2,4,3,243
16204,23,1,405.71,2,4,3,243
15061,3,55,54228.74,1,1,1,111
13983,29,13,2590.46,2,1,1,211
17861,3,9,2059.2,1,1,1,111
12921,3,50,16389.74,1,1,1,111
12589,28,2,646.68,2,3,3,233
15549,77,4,1655.76,3,2,1,321
15046,9,16,5064.01,1,1,1,111
15097,4,1,248.08,1,4,4,144
17101,10,4,1621.73,1,2,1,121
13549,25,8,916.12,2,1,2,212
13000,106,3,534.85,3,3,3,333
18259,24,3,2338.6,2,3,1,231
15958,74,1,104.35,3,4,4,344
16516,30,1,101.7,2,4,4,244
16168,10,28,3770.6,1,1,1,111
13034,54,2,642.77,3,3,3,333
13236,24,3,727.27,2,3,2,232
14534,2,25,4075.35,1,1,1,111
18059,9,4,296.71,1,2,3,123
17295,28,3,556.95,2,3,3,233
13575,23,5,732.07,2,2,2,222
13993,32,12,3409.66,2,1,1,211
15719,32,14,5043.96,2,1,1,211
14730,1,8,2005.06,1,1,1,111
14828,196,3,2139.76,4,3,1,431
14088,10,14,50415.49,1,1,1,111
15894,253,2,263.55,4,3,4,434
15518,64,13,1911.89,3,1,1,311
16389,53,5,1362.27,3,2,2,322
